-1.0           0.0           0.000
N              3277         0.040          181.07        426
N              3131         0.040          150           427
N              2987         0.040          150           428
N              2844         0.040          150           429
N              2705         0.040          150           430
N              2567         0.040          150           431
N              2437         0.040          150           432
N              2308         0.040          181.07        433
N              2181         0.040          181.07        434
N              2054         0.040          150           435
N              2055         0.040          181.07        436
N              1930         0.040          181.07        437
N              1931         0.040          150           438
N              1932         0.040          181.07        439
N              1808         0.040          212.13        440
N              1934         0.040          181.07        441
N              1935         0.040          181.07        442
N              2062         0.040          212.13        443
N              2190         0.040          212.13        444
N              2319         0.040          181.07        445
N              2320         0.040          181.07        446
N              2450         0.040          181.07        447
N              2451         0.040          150           448
N              2452         0.040          150           449
N              2453         0.040          150           450
N              2454         0.040          181.07        451
N              2326         0.040          212.13        452
N              2199         0.040          212.13        453
N              2073         0.040          181.07        454
N              1947         0.040          150           455
N              1822         0.040          150           456
N              1695         0.040          150           457
N              1569         0.040          181.07        458
N              1444         0.040          181.07        459
N              1330         0.040          150           460
N              1218         0.040          150           461
-1.0           0.0           0.000
N              7742         0.040          150           513
N              7572         0.040          150           512
N              7402         0.040          181.07        511
N              7233         0.040          212.13        510
N              7062         0.040          181.07        509
N              6892         0.040          181.07        508
N              6720         0.040          181.07        507
N              6548         0.040          181.07        506
N              6370         0.040          181.07        505
N              6369         0.040          150           504
N              6191         0.040          150           503
N              6014         0.040          181.07        502
N              5837         0.040          181.07        501
N              5838         0.040          181.07        500
N              5660         0.040          181.07        499
N              5482         0.040          150           498
N              5303         0.040          181.07        497
N              5124         0.040          181.07        496
N              4945         0.040          150           495
N              4766         0.040          150           494
N              4587         0.040          181.07        493
N              4407         0.040          181.07        492
N              4406         0.040          150           491
N              4405         0.040          150           490
N              4404         0.040          150           489
N              4228         0.040          150           488
N              4054         0.040          181.07        487
N              3885         0.040          181.07        486
N              3886         0.040          150           485
N              3887         0.040          150           484
N              3888         0.040          150           483
N              3889         0.040          181.07        482
N              3730         0.040          181.07        481
N              3731         0.040          150           480
N              3732         0.040          150           479
N              3733         0.040          150           478
N              3576         0.040          150           477
N              3420         0.040          150           476
N              3267         0.040          150           475
N              3121         0.040          181.07        474
N              2978         0.040          181.07        473
N              2835         0.040          150           472
N              2836         0.040          150           471
N              2697         0.040          150           470
N              2559         0.040          150           469
N              2560         0.040          150           468
N              2561         0.040          181.07        467
N              2700         0.040          212.13        466
N              2840         0.040          181.07        465
N              2841         0.040          181.07        464
N              2985         0.040          181.07        463
N              2986         0.040          150           462
-1.0           0.0           0.000
N              5792         0.040          150           514
N              5793         0.040          181.07        515
N              5972         0.040          181.07        516
N              6149         0.040          181.07        517
N              6328         0.040          212.13        518
N              6506         0.040          212.13        519
N              6679         0.040          212.13        520
N              6850         0.040          181.07        521
N              7021         0.040          181.07        522
N              7022         0.040          181.07        523
N              7193         0.040          212.13        524
N              7364         0.040          150           525
-1.0           0.0           0.000
N              10458        0.040          150           526
N              10606        0.040          181.07        527
N              10752        0.040          181.07        528
N              10899        0.040          181.07        529
N              11045        0.040          212.13        530
N              11193        0.040          181.07        531
N              11339        0.040          181.07        532
N              11488        0.040          212.13        533
N              11637        0.040          212.13        534
N              11787        0.040          212.13        535
N              11936        0.040          212.13        536
N              12085        0.040          181.07        537
N              12086        0.040          150           538
N              12087        0.040          150           539
N              12088        0.040          181.07        540
N              11941        0.040          181.07        541
N              11942        0.040          181.07        542
N              11795        0.040          181.07        543
N              11796        0.040          181.07        544
N              11648        0.040          181.07        545
N              11649        0.040          181.07        546
N              11502        0.040          212.13        547
N              11355        0.040          181.07        548
N              11356        0.040          150           549
N              11357        0.040          150           550
N              11358        0.040          150           551
N              11359        0.040          150           552
N              11360        0.040          181.07        553
N              11215        0.040          181.07        554
N              11216        0.040          150           555
N              11069        0.040          181.07        556
N              10923        0.040          181.07        557
N              10924        0.040          181.07        558
N              10778        0.040          181.07        559
N              10779        0.040          150           560
N              10780        0.040          181.07        561
N              10634        0.040          181.07        562
N              10635        0.040          150           563
N              10487        0.040          181.07        564
N              10340        0.040          212.13        565
N              10193        0.040          181.07        566
N              10194        0.040          150           567
N              10195        0.040          181.07        568
N              10045        0.040          150           569
-1.0           0.0           0.000
N              2812         0.040          150           570
N              2813         0.040          150           571
N              2814         0.040          150           572
N              2957         0.040          150           573
N              2958         0.040          150           574
N              2959         0.040          150           575
N              2816         0.040          150           576
N              2677         0.040          181.07        577
N              2540         0.040          212.13        578
N              2679         0.040          181.07        579
N              2680         0.040          181.07        580
N              2543         0.040          181.07        581
N              2544         0.040          150           582
-1.0           0.0           0.000
N              2668         0.040          150           583
N              2529         0.040          181.07        584
N              2528         0.040          150           585
N              2398         0.040          150           586
-1.0           0.0           0.000
N              1424         0.020          150           587
N              1310         0.020          150           588
N              1198         0.020          150           589
N              1096         0.020          181.07        590
N              1003         0.020          181.07        591
N              911          0.020          150           592
N              822          0.020          150           593
N              734          0.020          150           594
N              735          0.020          150           595
N              736          0.020          181.07        596
N              651          0.020          181.07        597
N              568          0.020          150           598
N              488          0.020          150           599
-1.0           0.0           0.000
N              2009         0.040          150           600
N              2136         0.040          150           601
N              2264         0.040          150           602
-1.0           0.0           0.000
N              4947         0.040          150           603
N              5126         0.040          150           604
N              5125         0.040          150           605
-1.0           0.0           0.000
N              5843         0.040          150           606
N              5664         0.040          150           607
N              5663         0.040          150           608
N              5485         0.040          150           609
N              5484         0.040          150           610
N              5483         0.040          150           611
-1.0           0.0           0.000
N              6514         0.040          150           612
N              6686         0.040          150           613
-1.0           0.0           0.000
N              7531         0.040          150           614
N              7532         0.040          150           615
N              7533         0.040          181.07        616
N              7534         0.040          150           617
N              7365         0.040          212.13        618
N              7196         0.040          212.13        619
N              7027         0.040          150           620
-1.0           0.0           0.000
N              6857         0.055          150           621
N              6858         0.055          150           622
N              6859         0.055          181.07        623
N              6689         0.055          150           624
N              6690         0.055          150           625
-1.0           0.0           0.000
N              2380         0.040          150           626
N              2381         0.040          150           627
N              2382         0.040          150           628
N              2383         0.040          150           629
N              2384         0.040          150           630
-1.0           0.0           0.000
N              6017         0.040          150           631
N              6194         0.040          150           632
N              6372         0.040          181.07        633
N              6550         0.040          181.07        634
N              6551         0.040          181.07        635
N              6375         0.040          181.07        636
N              6376         0.040          150           637
-1.0           0.0           0.000
N              3397         0.040          150           638
N              3244         0.040          150           639
N              3098         0.040          150           640
N              2954         0.040          150           641
-1.0           0.0           0.000
N              7387         0.040          150           642
N              7217         0.040          181.07        643
N              7046         0.040          181.07        644
N              6876         0.040          150           645
N              6705         0.040          181.07        646
N              6532         0.040          181.07        647
N              6355         0.040          181.07        648
N              6176         0.040          181.07        649
N              5999         0.040          150           650
N              5821         0.040          181.07        651
N              5641         0.040          181.07        652
N              5463         0.040          150           653
N              5284         0.040          181.07        654
N              5103         0.040          150           655
-1.0           0.0           0.000
N              2032         0.040          150           656
N              2159         0.040          150           657
N              2287         0.040          150           658
-1.0           0.0           0.000
N              1782         0.040          150           659
N              1907         0.040          150           660
N              1906         0.040          181.07        661
N              2031         0.040          212.13        662
N              2157         0.040          212.13        663
N              2284         0.040          181.07        664
N              2283         0.040          150           665
N              2282         0.040          150           666
N              2281         0.040          150           667
N              2410         0.040          150           668
-1.0           0.0           0.000
N              5819         0.040          150           669
N              5996         0.040          181.07        670
N              6173         0.040          150           671
N              6351         0.040          150           672
N              6528         0.040          150           673
N              6700         0.040          150           674
-1.0           0.0           0.000
N              2430         0.040          150           675
N              2301         0.040          150           676
N              2302         0.040          150           677
N              2303         0.040          150           678
N              2175         0.040          181.07        679
N              2049         0.040          181.07        680
N              1923         0.040          150           681
N              1922         0.040          150           682
N              1798         0.040          150           683
-1.0           0.0           0.000
N              329          0.035          150           684
N              395          0.035          181.07        685
N              469          0.035          181.07        686
N              550          0.035          150           687
N              633          0.035          181.07        688
N              720          0.035          212.13        689
N              809          0.035          181.07        690
N              898          0.035          181.07        691
N              991          0.035          212.13        692
N              1086         0.035          212.13        693
N              1189         0.035          181.07        694
N              1190         0.035          150           695
N              1302         0.035          181.07        696
N              1417         0.035          150           697
N              1542         0.035          150           698
N              1669         0.035          181.07        699
N              1670         0.035          150           700
N              1671         0.035          181.07        701
N              1546         0.035          181.07        702
N              1547         0.035          150           703
N              1548         0.035          181.07        704
N              1675         0.035          212.13        705
N              1803         0.035          181.07        706
N              1804         0.035          150           707
-1.0           0.0           0.000
N              7405         0.040          150           708
N              7235         0.040          150           709
N              7234         0.040          150           710
-1.0           0.0           0.000
N              10003        0.040          150           711
N              10004        0.040          150           712
N              10005        0.040          150           713
N              10006        0.040          150           714
N              10007        0.040          150           715
N              10008        0.040          150           716
N              10009        0.040          150           717
N              10160        0.040          181.07        718
N              10309        0.040          181.07        719
N              10310        0.040          150           720
N              10162        0.040          181.07        721
N              10012        0.040          212.13        722
N              9862         0.040          150           723
N              9863         0.040          150           724
N              9864         0.040          150           725
N              9865         0.040          150           726
N              9866         0.040          181.07        727
N              9715         0.040          181.07        728
N              9559         0.040          181.07        729
N              9403         0.040          181.07        730
N              9244         0.040          181.07        731
N              9077         0.040          212.13        732
N              8908         0.040          212.13        733
N              8738         0.040          212.13        734
N              8566         0.040          181.07        735
N              8399         0.040          181.07        736
N              8232         0.040          212.13        737
N              8061         0.040          181.07        738
N              7891         0.040          181.07        739
N              7720         0.040          181.07        740
N              7719         0.040          181.07        741
N              7548         0.040          181.07        742
N              7547         0.040          181.07        743
N              7376         0.040          181.07        744
N              7375         0.040          181.07        745
N              7204         0.040          212.13        746
N              7033         0.040          212.13        747
N              6862         0.040          150           748
N              6691         0.040          150           749
N              6518         0.040          150           750
-1.0           0.0           0.000
N              1054         0.040          150           751
N              1157         0.040          181.07        752
N              1269         0.040          181.07        753
N              1384         0.040          181.07        754
N              1508         0.040          181.07        755
N              1635         0.040          181.07        756
N              1762         0.040          150           757
N              1887         0.040          150           758
N              2013         0.040          150           759
-1.0           0.0           0.000
N              1514         0.040          150           760
N              1513         0.040          181.07        761
N              1638         0.040          212.13        762
N              1511         0.040          181.07        763
N              1510         0.040          150           764
N              1509         0.040          150           765
-1.0           0.0           0.000
